,Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1,Data Availability,total price seq,market cap
0,PM US Equity,2022-07-21,2022-04-21,2022-10-20,1.48,0.1773999999999999,16.76,0.082687338501292,1,1,3,1.0,2024-07-23,2024-04-23,2024-02-08,2023-10-19,2023-07-20,2023-04-20,2023-02-09,2022-10-20,True,,145074.8245
1,REG US Equity,2024-08-01,2024-05-02,2024-10-28,1.02,1.2222,31.73,0.0427209990141308,1,1,5,1.0,2026-07-29,2026-04-29,2026-02-05,2025-10-28,2025-07-29,2025-04-29,2025-02-06,2024-10-28,True,,13041.3958
2,O US Equity,2021-11-01,2021-08-02,2022-02-22,0.416,0.0484999999999999,41.32,-0.0729190038142247,1,1,5,2.0,2023-11-06,2023-08-02,2023-05-03,2023-02-21,2022-11-02,2022-08-03,2022-05-04,2022-02-22,True,,40093.501
3,DLTR US Equity,2023-03-01,2022-11-22,2023-05-25,2.04,0.0124,20.83,-0.0566123188405797,1,1,2,0.0,2025-03-26,2024-12-04,2024-09-04,2024-06-05,2024-03-13,2023-11-29,2023-08-24,2023-05-25,True,,32761.845
4,CNP US Equity,2022-05-03,2022-02-22,2022-08-02,0.47,-0.0105,30.34,-0.1195589088798607,1,0,8,0.0,2024-04-30,2024-02-20,2023-10-26,2023-07-27,2023-04-27,2023-02-17,2022-11-01,2022-08-02,True,,19222.8657
5,MCO US Equity,2023-04-25,2023-01-31,2023-07-25,2.99,0.3324,38.88,0.0939786156443445,1,1,3,0.0,2025-04-22,2025-02-13,2024-10-22,2024-07-23,2024-05-02,2024-02-13,2023-10-25,2023-07-25,True,,56141.64
6,EMN US Equity,2024-07-25,2024-04-25,2024-10-31,2.15,0.0654,15.58,0.0634812286689419,1,1,0,1.0,2026-07-31,2026-04-24,2026-01-30,2025-10-31,2025-07-31,2025-04-24,2025-01-30,2024-10-31,True,,11428.4723
7,TDY US Equity,2024-01-24,2023-10-25,2024-04-24,5.44,0.0791999999999999,26.58,0.1566579634464751,0,1,6,3.0,2026-01-22,2025-10-23,2025-07-23,2025-04-23,2025-01-22,2024-10-23,2024-07-24,2024-04-24,True,,19719.4286
8,GRMN US Equity,2021-07-28,2021-04-28,2021-10-27,1.68,0.3483,23.37,-0.0234015879648975,1,1,6,1.0,2023-08-02,2023-05-03,2023-02-22,2022-10-26,2022-07-27,2022-04-27,2022-02-16,2021-10-27,True,,30019.5196
9,AMT US Equity,2022-07-28,2022-04-27,2022-10-27,1.95,1.057,41.69,-0.03249013692272,1,1,5,1.0,2024-07-30,2024-04-30,2024-02-27,2023-10-26,2023-07-27,2023-04-26,2023-02-23,2022-10-27,True,,125196.3196
10,VRTX US Equity,2023-11-06,2023-08-01,2024-02-05,4.08,0.0432,23.21,-0.0397186594952421,0,1,3,2.0,2025-11-04,2025-08-04,2025-05-05,2025-02-10,2024-11-04,2024-08-01,2024-05-06,2024-02-05,True,,99562.6558
11,ETR US Equity,2024-04-24,2024-02-22,2024-08-01,0.54,-0.2416,8.27,-0.0450346420323326,0,0,8,0.0,2026-04-29,2026-02-18,2025-10-31,2025-07-30,2025-04-29,2025-02-18,2024-10-31,2024-08-01,True,,22701.8482
12,MDLZ US Equity,2021-01-28,2020-11-02,2021-04-28,0.67,0.0106,24.99,0.0960526315789471,0,1,3,3.0,2023-01-31,2022-11-01,2022-07-26,2022-04-26,2022-01-27,2021-11-02,2021-07-27,2021-04-28,True,,81690.897
13,ISRG US Equity,2024-01-23,2023-10-19,2024-04-18,1.6,0.0810999999999999,66.8,-0.0218187143066336,0,1,3,3.0,2026-01-23,2025-10-17,2025-07-22,2025-04-22,2025-01-23,2024-10-17,2024-07-18,2024-04-18,True,,130762.91
